trade_date,loan_age,cosign,income_annual,upb,monthly_payment,fico,origbalance,mos_to_repay,repay_status,mos_to_balln
2023-01-01,53,0,145000.08,61465.07,1089.42,808,102179.33,0,0,68
2023-01-01,15,0,155000.04,61257.03,1019.23,773,73531.18,0,0,69
2023-01-01,2,0,63003.2,40097.63,585.98,775,41347.16,0,0,82
2023-01-01,43,0,165317.1,11271.65,689.01,756,39288.68,0,0,61
2023-01-01,25,0,90001.6,31533.65,419.75,778,36710.44,0,0,98
2023-01-01,22,0,122400.2,45862.49,357.91,687,48384.55,0,0,220
2023-01-01,4,0,142438.4,124532.81,1364.85,824,127758.57,0,0,117
2023-01-01,34,0,60000,90737.41,1331.71,762,130186.68,0,0,91
2023-01-01,10,0,154400.05,36959.4,324.7,799,38216.94,0,0,170
2023-01-01,27,0,227400.16,86373.85,2808.46,772,148944.05,0,0,34
2023-01-01,14,0,48888.48,5168.44,85.25,806,6056.16,0,0,70
2023-01-01,9,0,146944.8,71790.54,599.17,797,75026.43,0,0,171
2023-01-01,17,0,97133.04,62027.31,561.14,793,65818.45,0,0,164
2023-01-01,18,0,82820.14,11100.82,153.33,744,13798.03,0,0,103
2023-01-01,31,0,55000,42377.19,379.32,760,48902.83,0,0,209
2023-01-01,50,0,233699.04,5224.59,552.31,831,30166.54,0,0,10
2023-01-01,22,0,50004,14908.79,148.07,724,16702.22,0,0,159
